side,entry_date,entry_price,exit_date,exit_price,quantity,pnl_pct,pnl_amount,balance_before,balance_after,exit_reason,market_regime,risk_percentage
SELL,2025-02-15 16:00:00,98833.8,2025-02-17 03:00:00,96960.6,0.001041443948377242,5.685909071592907,5.85249841230074,9802.84408620254,9808.696584614841,Reverse Signal,ranging,0.35
BUY,2025-02-17 06:00:00,96677.3,2025-02-20 11:00:00,97950.0,0.0010653102035168113,3.949324195028193,4.0674608880475285,9808.696584614841,9812.764045502889,Reverse Signal,ranging,0.35
SELL,2025-02-21 12:00:00,99171.6,2025-02-23 18:00:00,96811.2,0.0010389468605707716,7.140350664908126,7.356990509073775,9812.764045502889,9820.121036011962,Reverse Signal,ranging,0.35
BUY,2025-02-23 22:00:00,96562.4,2025-02-25 09:00:00,92788.9,0.0010678200922732408,-11.723507286480038,-12.088257354579222,9820.121036011962,9808.032778657383,Reverse Signal,ranging,0.35
SELL,2025-02-25 11:00:00,90192.7,2025-02-25 14:00:00,88706.9,0.0024467693895380794,4.942085113318493,10.906229876927055,9808.032778657383,9818.939008534311,Reverse Signal,trending,0.75
SELL,2025-02-25 15:00:00,89918.0,2025-02-26 19:00:00,88928.6,0.002456973327832269,3.3010075846882523,7.292788231671698,9818.939008534311,9826.231796765984,Reverse Signal,trending,0.75
BUY,2025-02-26 20:00:00,87954.6,2025-03-01 01:00:00,84057.3,0.0011730533009762175,-13.293108035281847,-13.71522188968385,9826.231796765984,9812.5165748763,Reverse Signal,ranging,0.35
SELL,2025-03-01 02:00:00,84057.2,2025-03-03 02:00:00,84060.0,0.0026265640889146526,-0.009993195110006913,-0.022063138346906014,9812.5165748763,9812.494511737952,Reverse Signal,trending,0.75
SELL,2025-03-03 09:00:00,84587.8,2025-03-03 11:00:00,92657.5,0.0012180384449441701,-28.620084693064474,-29.487614517497896,9812.494511737952,9783.006897220454,Stop Loss,ranging,0.35
BUY,2025-03-03 12:00:00,92639.5,2025-03-03 19:00:00,85397.2,0.0023760669605023795,-23.453170623762013,-51.62456924413917,9783.006897220454,9731.382327976315,Stop Loss,trending,0.75
SELL,2025-03-04 07:00:00,82759.4,2025-03-05 02:00:00,87388.5,0.002645694656793876,-16.780329485230705,-36.74155540729364,9731.382327976315,9694.64077256902,Reverse Signal,trending,0.75
BUY,2025-03-05 03:00:00,86691.2,2025-03-05 21:00:00,112999.6,0.002516165624455573,91.04176663836701,198.58887514328106,9694.64077256902,9893.229647712302,Take Profit,trending,0.75
