timestamp,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2025-01-07,218.22,219.11,201.8,202.17,3742298.284,1736294399999,786521513.88121,1475754,1916570.431,403122307.37169,0
2025-01-08,202.17,203.28,188.34,197.48,4446830.23,1736380799999,873913213.74813,2031142,2338633.469,459705475.10823,0
2025-01-09,197.48,199.06,182.0,184.95,3607147.193,1736467199999,684344914.22428,1961684,1801374.558,341921972.3475,0
2025-01-10,184.96,193.02,183.51,187.68,3642892.082,1736553599999,687353802.31763,1852360,1741766.045,328494158.44737,0
2025-01-11,187.69,191.91,184.01,188.09,2204486.056,1736639999999,411533204.16097,937504,1064110.35,198772090.0794,0
2025-01-12,188.09,191.0,185.17,188.51,1330917.135,1736726399999,250109405.58559,723323,677588.579,127323378.63006,0
2025-01-13,188.5,191.99,168.88,182.87,5669925.613,1736812799999,1015651889.57331,2547519,2692190.175,482872920.51139,0
2025-01-14,182.86,190.11,181.88,187.57,2737355.064,1736899199999,510258589.71248,1379846,1349245.163,251576561.38296,0
2025-01-15,187.57,206.04,185.84,205.86,3768610.58,1736985599999,735465044.82904,1825631,1969502.821,384828555.01893,0
2025-01-16,205.86,217.14,198.47,211.14,5710255.657,1737071999999,1196137559.83409,2762727,3008386.918,630879297.00727,0
2025-01-17,211.15,222.11,209.84,219.51,4384472.838,1737158399999,952526271.30062,2186663,2205434.387,479042708.4496,0
2025-01-18,219.52,270.67,217.29,261.97,19971981.58,1737244799999,4849480490.65198,9712182,10428786.659,2531314978.3608,0
2025-01-19,261.97,295.83,236.68,252.42,25051667.6,1737331199999,6733958631.981311,16728916,12553970.478,3377673848.64727,0
2025-01-20,252.4,273.29,229.44,242.19,16879575.561,1737417599999,4215741222.9716306,13411844,8415720.824,2101081767.07253,0
2025-01-21,242.18,260.06,230.0,250.33,7882737.257,1737503999999,1907066376.77776,6181509,3813585.87,923047549.13654,0
2025-01-22,250.33,272.03,248.43,257.36,6223427.616,1737590399999,1612462526.67869,4791221,3103831.608,804872305.48336,0
2025-01-23,257.37,258.48,242.19,253.11,6802762.723,1737676799999,1698329260.27982,5535365,3354267.435,837408520.5799501,0
2025-01-24,253.12,270.18,247.18,253.37,5214294.569,1737763199999,1357937147.07766,4402292,2659835.714,692912291.79527,0
2025-01-25,253.36,260.78,246.33,256.41,3703989.301,1737849599999,934052018.21903,2767492,1825162.251,460241817.61591,0
2025-01-26,256.4,260.16,240.32,240.5,3028015.524,1737935999999,766488890.3849901,2339798,1478686.055,374515696.63668,0
2025-01-27,240.49,242.68,220.89,234.89,8916620.842,1738022399999,2058026956.44399,6699907,4307853.517,994454484.16036,0
2025-01-28,234.9,244.0,225.01,227.06,3483450.087,1738108799999,819684554.0642,3282972,1738052.918,409131218.54356,0
2025-01-29,227.06,238.49,222.63,228.16,3844193.838,1738195199999,886979893.1373699,3509070,1868142.883,431143583.98252,0
2025-01-30,228.16,244.7,226.84,238.31,3341265.973,1738281599999,799766743.7033,2468882,1703751.132,407710879.87364,0
