2025-03-15 17:02:49,625 - integrated_backtest - INFO - Ngày 2025-02-15 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,630 - integrated_backtest - INFO - Ngày 2025-02-16 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,638 - integrated_backtest - INFO - Ngày 2025-02-17 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,643 - integrated_backtest - INFO - Ngày 2025-02-18 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,646 - integrated_backtest - INFO - Ngày 2025-02-19 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,650 - integrated_backtest - INFO - Ngày 2025-02-20 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,656 - integrated_backtest - INFO - Ngày 2025-02-21 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,660 - integrated_backtest - INFO - Ngày 2025-02-22 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,664 - integrated_backtest - INFO - Ngày 2025-02-23 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,668 - integrated_backtest - INFO - Ngày 2025-02-24 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,672 - integrated_backtest - INFO - Ngày 2025-02-25 13:00:00: Thị trường BEAR, chọn mức rủi ro conservative (5.0%)
2025-03-15 17:02:49,678 - integrated_backtest - INFO - Ngày 2025-02-26 13:00:00: Thị trường BEAR, chọn mức rủi ro conservative (5.0%)
2025-03-15 17:02:49,681 - integrated_backtest - INFO - Ngày 2025-02-27 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,687 - integrated_backtest - INFO - Ngày 2025-02-28 13:00:00: Thị trường BEAR, chọn mức rủi ro conservative (5.0%)
2025-03-15 17:02:49,689 - integrated_backtest - INFO - Ngày 2025-03-01 13:00:00: Thị trường BEAR, chọn mức rủi ro conservative (5.0%)
2025-03-15 17:02:49,692 - integrated_backtest - INFO - Ngày 2025-03-02 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,695 - integrated_backtest - INFO - Ngày 2025-03-03 13:00:00: Thị trường BULL, chọn mức rủi ro high_risk (20.0%)
2025-03-15 17:02:49,706 - integrated_backtest - INFO - Ngày 2025-03-04 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,714 - integrated_backtest - INFO - Ngày 2025-03-05 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,716 - integrated_backtest - INFO - Ngày 2025-03-06 13:00:00: Thị trường VOLATILE, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,718 - integrated_backtest - INFO - Ngày 2025-03-07 13:00:00: Thị trường VOLATILE, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,719 - integrated_backtest - INFO - Ngày 2025-03-08 13:00:00: Thị trường VOLATILE, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,720 - integrated_backtest - INFO - Ngày 2025-03-09 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,722 - integrated_backtest - INFO - Ngày 2025-03-10 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,724 - integrated_backtest - INFO - Ngày 2025-03-11 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,726 - integrated_backtest - INFO - Ngày 2025-03-12 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,728 - integrated_backtest - INFO - Ngày 2025-03-13 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
